time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-01-01T00:00:00.0000000Z,2019-01-01T01:00:00.0000000Z,3691.87,3701.73,3680.63,3691.89,578.7941695,2337
2019-01-01T01:00:00.0000000Z,2019-01-01T02:00:00.0000000Z,3691.89,3693.67,3666.4,3676.66,730.1322288,2595
2019-01-01T02:00:00.0000000Z,2019-01-01T03:00:00.0000000Z,3676.66,3679,3666.3,3674,423.7519634,1660
2019-01-01T03:00:00.0000000Z,2019-01-01T04:00:00.0000000Z,3674,3684,3673.99,3682,410.5193027,1952
2019-01-01T04:00:00.0000000Z,2019-01-01T05:00:00.0000000Z,3681.03,3700,3678.25,3681.8,526.4253233,2296
2019-01-01T05:00:00.0000000Z,2019-01-01T06:00:00.0000000Z,3681.81,3690,3681.8,3690,256.4721763,1321
2019-01-01T06:00:00.0000000Z,2019-01-01T07:00:00.0000000Z,3690,3694.98,3689,3691.35,406.807066,1144
2019-01-01T07:00:00.0000000Z,2019-01-01T08:00:00.0000000Z,3691.35,3715,3691.35,3701.91,419.358643,1237
2019-01-01T08:00:00.0000000Z,2019-01-01T09:00:00.0000000Z,3701.9,3725,3700.94,3713.45,174.819825,982
2019-01-01T09:00:00.0000000Z,2019-01-01T10:00:00.0000000Z,3712.71,3713.44,3690,3695.08,169.9793334,895
2019-01-01T10:00:00.0000000Z,2019-01-01T11:00:00.0000000Z,3693.25,3707.97,3689.39,3707.36,60.18056211,625
2019-01-01T11:00:00.0000000Z,2019-01-01T12:00:00.0000000Z,3707.36,3716.02,3702,3702.55,94.30770964,537
